data,label,CCT_xc_distance,CCT_xc_count1,CCT_xc_count7,CCT_x4_distance,CCT_x4_count1,CCT_x4_count7,r50_xc_distance,r50_xc_count1,r50_xc_count7,r50_xc_xs5,r50_xc_xs3,r50_xc_all3,r50_xc_all5,r50_x4_distance,r50_x4_count1,r50_x4_count7
covid_hosp/train/0/0280a39c-4891-4a7b-8073-710c3f5577a3.png_001,0,1.997461452287904,0,0,0.7276762579538884,0,0,1.997148554251029,0,1,0,0,0,0,0.19164560898072514,0,0
covid_hosp/train/0/0295573e-1bbe-4f14-83c2-32449fa79f10.png_000,1,0.00027886142756594623,1,7,0.2561776786966349,1,7,1.2001971371966569e-05,1,6,5,3,3,5,0.08775680481082782,1,7
covid_hosp/train/0/0295573e-1bbe-4f14-83c2-32449fa79f10.png_001,0,1.9985684830400507,0,0,1.0154715788489335,0,0,1.9942917916304754,0,1,0,0,0,0,0.22524000248581655,0,0
covid_hosp/train/0/02f6ab3b-7793-4d67-87e3-868911a399b7.png_000,1,0.00017835301052138153,1,6,0.41390305873582633,1,7,0.00034076755225598276,1,7,4,2,3,4,0.051042201399558174,1,6
covid_hosp/train/0/02f6ab3b-7793-4d67-87e3-868911a399b7.png_001,0,1.998810299147137,0,1,0.9699126529999217,0,0,1.990506182296238,0,0,1,1,0,1,0.15885945740315877,0,1
covid_hosp/train/0/03682e3c-d601-4e35-9ba5-06e85bba5c7c.png_000,1,0.0023478242124940207,1,7,0.2768414853679233,1,7,0.002074635927710733,1,5,4,3,3,5,0.10082046507663045,1,7
covid_hosp/train/0/03682e3c-d601-4e35-9ba5-06e85bba5c7c.png_001,0,1.9951591642875317,0,0,0.8290375972369985,0,0,1.984512711411905,0,2,1,0,0,0,0.26388667209132965,0,0
covid_hosp/train/0/03b10fa5-e7c3-4726-818f-ecbace9da737.png_000,1,0.1726388160621276,0,2,0.4311199577620952,1,6,1.4367759663791446e-05,0,5,5,3,3,5,0.04921888403491037,1,7
covid_hosp/train/0/03b10fa5-e7c3-4726-818f-ecbace9da737.png_001,0,1.8102016938505183,1,5,0.5909030179124176,0,1,1.9943408906421527,1,2,0,0,0,0,0.21310796405099608,0,0
covid_hosp/train/0/03da08b4-9f24-4822-8b2b-4abf27e3c9a8.png_000,1,0.002810670687979022,1,7,0.37469791447576783,1,5,5.1579267961621156e-05,1,6,1,1,1,1,0.1060018035070559,1,7
covid_hosp/train/0/03da08b4-9f24-4822-8b2b-4abf27e3c9a8.png_001,0,1.9945040663847609,0,0,0.698430328353909,0,2,1.9925727434743323,0,1,4,2,2,4,0.17199086323848312,0,0
covid_hosp/train/0/03f43302-39f0-48a1-ae3d-0c6c611b9302.png_000,1,1.6395190060412745,0,3,0.3417524653301117,0,5,4.018360790636333e-05,1,7,5,3,3,5,0.055420072504726914,1,7
covid_hosp/train/0/03f43302-39f0-48a1-ae3d-0c6c611b9302.png_001,0,0.38374743872161743,1,4,0.5476439634850241,1,2,1.9927170404806491,0,0,0,0,0,0,0.19527750854742087,0,0
covid_hosp/train/0/042bde1a-88c1-4ae5-af0c-1a409e1e09ee.png_000,1,0.003321698048696531,1,7,0.23528713056859663,1,7,0.0001993704014068287,1,7,5,3,3,5,0.05960198343778167,1,7
covid_hosp/train/0/042bde1a-88c1-4ae5-af0c-1a409e1e09ee.png_001,0,1.9937984751599167,0,0,0.7965070753244237,0,0,1.991331316730493,0,0,0,0,0,0,0.23044792479386322,0,0
covid_hosp/train/0/04707463-aae0-4989-ae73-f9162275444e.png_000,1,0.000848706723980408,1,7,0.13839209531393215,1,7,9.736890956690836e-05,1,6,5,3,3,5,0.058734419779229,1,7
covid_hosp/train/0/04707463-aae0-4989-ae73-f9162275444e.png_001,0,1.999936092535154,0,0,0.9049868423988244,0,0,1.9952171961078173,0,1,0,0,0,0,0.2386936125944943,0,0
covid_hosp/train/0/05073cbd-ad54-456d-9de6-b468db719b57.png_000,1,0.0004531722506170288,1,7,0.18242858738181056,1,7,0.00015967157875262927,0,6,4,2,3,5,0.050994725189649315,1,7
covid_hosp/train/0/05073cbd-ad54-456d-9de6-b468db719b57.png_001,0,1.9999999780155664,0,0,0.916107078211506,0,0,1.9916048357030829,1,1,1,1,0,0,0.16184297990682195,0,0
covid_hosp/train/0/053f237f-c835-4067-8a74-a0b7641bdaca.png_000,1,0.0016429884088492441,1,7,0.1818315866454463,1,7,3.0818787966069294e-07,0,6,5,3,3,5,0.048053049310946894,1,7
covid_hosp/train/0/053f237f-c835-4067-8a74-a0b7641bdaca.png_001,0,1.9961980236965693,0,0,0.8741607636021604,0,0,1.993844403055097,1,1,0,0,0,0,0.259088018850296,0,0
covid_hosp/train/0/053f400c-145d-4770-841c-3ea961bb3644.png_000,1,0.00011751458506270573,1,6,0.09089411118846247,1,7,0.0003861614760694021,1,6,5,3,3,5,0.05398901238174181,1,7
covid_hosp/train/0/053f400c-145d-4770-841c-3ea961bb3644.png_001,0,1.9989773966312625,0,1,0.8956215046274404,0,0,1.9964735438887309,0,1,0,0,0,0,0.2522411369712497,0,0
covid_hosp/train/0/056fb495-574d-4b37-9f89-77b9ced2ef43.png_000,1,0.00034390931758310206,1,6,0.31723354136302995,1,6,0.0006391516508456041,1,7,5,3,3,5,0.07090969030650718,1,7
covid_hosp/train/0/056fb495-574d-4b37-9f89-77b9ced2ef43.png_001,0,1.9999932657147945,0,1,0.8154278487413955,0,1,1.9891337654256995,0,0,0,0,0,0,0.24169600791516233,0,0
covid_hosp/train/0/05c8ec6f-c41d-4dbe-a6a0-2875334b0b9e.png_000,1,0.000693136244838799,1,6,0.43375437571488185,1,7,2.729042996840736e-05,1,7,5,3,3,5,0.1067874487255468,1,7
covid_hosp/train/0/05c8ec6f-c41d-4dbe-a6a0-2875334b0b9e.png_001,0,1.997747504373951,0,1,0.8490166405988375,0,0,1.992905774781582,0,0,0,0,0,0,0.15997926969472487,0,0
covid_hosp/train/0/05cd4a95-8187-41ac-929c-226015cceefb.png_000,1,0.0003123981464753234,1,7,0.1802201645742192,1,7,0.0005572544464005347,1,6,3,1,1,1,0.1318102647168884,1,6
covid_hosp/train/0/05cd4a95-8187-41ac-929c-226015cceefb.png_001,0,1.9999879929209785,0,0,0.8707037002950007,0,0,1.989479342618102,0,1,2,2,2,4,0.20370687535617726,0,1
covid_hosp/train/0/05d16b06-ffb2-40ab-b64a-299448999f72.png_000,1,0.0010406241340465971,1,7,0.23541813227199926,1,7,0.0005427433880360599,1,7,5,3,3,5,0.08542083873118012,1,7
covid_hosp/train/0/05d16b06-ffb2-40ab-b64a-299448999f72.png_001,0,1.9998763230367107,0,0,0.8577800806662107,0,0,1.9968929731080407,0,0,0,0,0,0,0.18490831243167427,0,0
covid_hosp/train/0/05d3b194-78bb-4fe9-aa1c-0f1d76e5641d.png_000,1,0.0010059421569935667,1,7,0.17537233801962016,1,7,7.740690021762475e-05,1,7,5,3,3,5,0.045712400557662125,1,7
covid_hosp/train/0/05d3b194-78bb-4fe9-aa1c-0f1d76e5641d.png_001,0,1.9998880894859368,0,0,0.8170370636406117,0,0,1.9950683100361482,0,0,0,0,0,0,0.20528210965822946,0,0
covid_hosp/train/0/05ee72bf-6d12-4ac5-a47e-f43a7ea52a40.png_000,1,0.0008109640829325748,1,7,0.2179518788098901,1,7,0.00013870047965414134,1,5,4,2,3,5,0.05347965987843217,1,7
covid_hosp/train/0/05ee72bf-6d12-4ac5-a47e-f43a7ea52a40.png_001,0,1.9999461398461413,0,0,0.8947151296781166,0,0,1.9954773787659583,0,2,1,1,0,0,0.16129446841891082,0,0
covid_hosp/train/0/05f6eacc-e1a9-4b88-a0ec-f4ab5ba72e93.png_000,1,0.0007475495641353636,1,7,0.425531391114378,0,6,0.0002183635272952067,1,6,5,3,3,5,0.08123020283445459,1,7
covid_hosp/train/0/05f6eacc-e1a9-4b88-a0ec-f4ab5ba72e93.png_001,0,1.9999615269967088,0,0,0.8094192482093986,1,1,1.9912087563277492,0,1,0,0,0,0,0.2657172087261708,0,0
covid_hosp/train/0/05f88159-8c6e-4d9a-92a8-a20c6fb2930d.png_000,1,0.0005401476774992142,1,7,0.2659433076737323,1,7,0.00021473860169463066,1,7,5,3,3,5,0.08146085871452657,1,7
covid_hosp/train/0/05f88159-8c6e-4d9a-92a8-a20c6fb2930d.png_001,0,1.9999955826572111,0,0,0.7984232602972852,0,0,1.9958556555744627,0,0,0,0,0,0,0.2463881902583186,0,0
covid_hosp/train/0/05fa458a-9e6a-4e02-b85c-c8d67c3161cf.png_000,1,0.00040714081378745437,0,6,0.24291757517817603,1,7,2.6810217712558426e-08,1,7,5,3,3,5,0.08547788423897507,1,7
covid_hosp/train/0/05fa458a-9e6a-4e02-b85c-c8d67c3161cf.png_001,0,1.9982932432669644,1,1,0.7660583879652729,0,0,1.9937829274410193,0,0,0,0,0,0,0.23464956282288996,0,0
covid_hosp/train/0/0609cacd-b9a6-485f-a6f1-5bb7b88db8dd.png_000,1,2.4968658218660345e-05,1,7,0.32326120842787875,1,7,0.0024119840977856466,1,3,3,2,1,3,0.12316167798449318,1,7
covid_hosp/train/0/0609cacd-b9a6-485f-a6f1-5bb7b88db8dd.png_001,0,1.9997393987251213,0,0,0.8239326338816316,0,0,1.983616131918747,0,4,2,1,2,2,0.2035081489148115,0,0
covid_hosp/train/0/06199c4d-5f6f-4736-81b1-07bf5b76bd78.png_000,1,0.0007961170731916045,1,7,0.12690776012756944,1,7,2.2451311645355077e-05,1,6,5,3,3,5,0.0409801698334904,1,7
covid_hosp/train/0/06199c4d-5f6f-4736-81b1-07bf5b76bd78.png_001,0,1.9975647971623174,0,0,0.7749472161808172,0,0,1.9944823963215708,0,1,0,0,0,0,0.24887086638289402,0,0
covid_hosp/train/0/061ccabd-b0cf-4238-a053-28a1960c1923.png_000,1,8.142323040172261e-05,1,7,0.15813731768150507,1,7,0.00043064606262144256,1,7,5,3,3,5,0.06546008878515619,1,7
covid_hosp/train/0/061ccabd-b0cf-4238-a053-28a1960c1923.png_001,0,1.999090275975108,0,0,0.9664587434585795,0,0,1.9966029997010515,0,0,0,0,0,0,0.17940898356947044,0,0
covid_hosp/train/0/0623ea89-c89c-4743-b492-55e398de4c9b.png_000,1,0.0014836361865684378,1,6,0.24466978517251015,1,7,0.0003778050359500851,1,5,5,3,3,5,0.10091814413550215,1,7
covid_hosp/train/0/0623ea89-c89c-4743-b492-55e398de4c9b.png_001,0,1.999697867846934,0,1,1.0916600811476405,0,0,1.9964481275977215,0,2,0,0,0,0,0.23778767761356678,0,0
covid_hosp/train/0/063f63c9-7e5b-4360-8d19-0060d849fdbc.png_000,1,0.002271213713628595,1,5,0.301777011276797,1,7,0.0007138510201315507,1,6,5,3,3,5,0.06978226361268092,1,7
covid_hosp/train/0/063f63c9-7e5b-4360-8d19-0060d849fdbc.png_001,0,1.9952693790963978,0,2,0.7729772155434379,0,0,1.9888329941321894,0,1,0,0,0,0,0.2331665839629351,0,0
covid_hosp/train/0/06605bfa-0370-4979-a2bd-11173002abd1.png_000,1,0.008126037976584621,1,6,0.4153547598629025,0,6,0.0004905169343473181,1,7,5,3,3,5,0.11135063968938497,1,7
covid_hosp/train/0/06605bfa-0370-4979-a2bd-11173002abd1.png_001,0,1.9876276497782264,0,1,0.744623839828816,1,1,1.9897757098572084,0,0,0,0,0,0,0.2557271492179596,0,0
covid_hosp/train/0/0666201a-fab4-4828-81dd-73292312c766.png_000,1,1.8989450097892764,0,2,0.5742032997870349,0,2,0.0008600903361896117,1,3,5,3,2,4,0.1124535695681782,1,7
covid_hosp/train/0/0666201a-fab4-4828-81dd-73292312c766.png_001,0,0.1145514885358162,1,5,0.5222087131689448,1,5,1.988276222016598,0,4,0,0,1,1,0.15989695488226008,0,0
covid_hosp/train/0/067b7ea4-bc57-41d5-ae13-5137f9df5111.png_000,1,0.0006360054097819257,1,7,0.1940411224735823,1,7,2.4790652538020375e-05,1,7,5,3,3,5,0.047108968815253505,1,7
covid_hosp/train/0/067b7ea4-bc57-41d5-ae13-5137f9df5111.png_001,0,1.9978514405039256,0,0,0.7971467241732748,0,0,1.992946914040358,0,0,0,0,0,0,0.21620354470380931,0,0
covid_hosp/train/0/068ae297-8397-463e-927e-cb6693aeb8b5.png_000,1,0.0015610349531286483,1,6,0.17346973337079663,1,7,0.0006883600424492098,1,6,4,2,3,4,0.07159940396938469,1,7
covid_hosp/train/0/068ae297-8397-463e-927e-cb6693aeb8b5.png_001,0,1.999662389359289,0,1,0.818439518885512,0,0,1.9972118787428,0,1,1,1,0,1,0.24842535923101172,0,0
covid_hosp/train/0/068e882a-df1e-4d62-92a0-9eef12024b01.png_000,1,0.00238357930614963,1,7,0.20766443638002852,1,7,0.00038243222882217154,1,7,5,3,3,5,0.052714964479182,1,7
covid_hosp/train/0/068e882a-df1e-4d62-92a0-9eef12024b01.png_001,0,1.9951079142577914,0,0,0.7372479829334155,0,0,1.9964622468770283,0,0,0,0,0,0,0.23381657291398972,0,0
covid_hosp/train/0/06941d8e-2034-4503-b8d5-0eb13fc52f75.png_000,1,0.0006402833085666915,1,7,0.26879144604271477,1,7,8.11098248617581e-05,0,6,5,3,3,5,0.055381961836642124,1,7
covid_hosp/train/0/06941d8e-2034-4503-b8d5-0eb13fc52f75.png_001,0,1.9978435867527156,0,0,0.8838855032433683,0,0,1.995097442761872,1,1,0,0,0,0,0.1873283840798693,0,0
covid_hosp/train/0/069554dc-f5b0-4947-be4c-873dd6360b5a.png_000,1,0.002179227593380184,1,7,0.23039144992345362,1,7,6.496534976641044e-09,1,5,5,3,3,5,0.05299318960377608,1,7
covid_hosp/train/0/069554dc-f5b0-4947-be4c-873dd6360b5a.png_001,0,1.9954024751916335,0,0,0.6537592470508561,0,0,1.993744396505951,0,2,0,0,0,0,0.20332986668733566,0,0
covid_hosp/train/0/06a7820e-8f38-4958-b871-518030a63432.png_000,1,0.0001526367394220074,1,7,0.12006061480436347,1,7,0.0001545301070482452,1,7,5,3,3,5,0.08489256693282032,1,7
covid_hosp/train/0/06a7820e-8f38-4958-b871-518030a63432.png_001,0,1.9999228143320638,0,0,0.8495746607737065,0,0,1.9955648065323683,0,0,0,0,0,0,0.22371803956013303,0,0
covid_hosp/train/0/06ba1322-0274-47e0-b7eb-07c11d96360f.png_000,1,0.0003781718040990478,1,7,0.12924399346310889,1,7,1.0119197796365498e-06,1,7,4,2,3,5,0.05391694271875447,1,7
covid_hosp/train/0/06ba1322-0274-47e0-b7eb-07c11d96360f.png_001,0,1.9999971333376099,0,0,0.873801877351952,0,0,1.9935973998744045,0,0,1,1,0,0,0.2729798748216061,0,0
covid_hosp/train/0/06bc1cfe-23a0-43a4-a01b-dfa10314bbb0.png_000,1,0.00019677566277609415,1,7,0.16112997096322956,1,7,0.0004699894323079157,1,6,5,3,3,5,0.09501992766290301,1,7
covid_hosp/train/0/06bc1cfe-23a0-43a4-a01b-dfa10314bbb0.png_001,0,1.9999494131915778,0,0,0.844711106965855,0,0,1.9967101474920415,0,1,0,0,0,0,0.19911268650946445,0,0
covid_hosp/train/0/06bdaf90-df6a-46ae-ac6d-a4afb7937c8d.png_000,1,0.0006500879935910087,1,7,0.21785672266320022,1,7,6.128071098343568e-07,1,7,5,3,3,5,0.06132324571943337,1,7
covid_hosp/train/0/06bdaf90-df6a-46ae-ac6d-a4afb7937c8d.png_001,0,1.9999810093833164,0,0,0.8815644834681329,0,0,1.9936330000292286,0,0,0,0,0,0,0.19207866730903533,0,0
covid_hosp/train/0/06ce1fa2-986b-4936-82f5-7b06d0d3b4ff.png_000,1,0.001276449652780287,1,6,0.25230973941927504,1,6,0.00036280415053069337,1,6,5,3,3,5,0.08903630864703338,1,7
covid_hosp/train/0/06ce1fa2-986b-4936-82f5-7b06d0d3b4ff.png_001,0,1.9967673628711662,0,1,0.9693656252016889,0,1,1.9964015521801186,0,1,0,0,0,0,0.24762509064129945,0,0
covid_hosp/train/0/06ea9b14-2cac-42c6-b3d1-b955feafee23.png_000,1,0.0010621531511334492,1,7,0.3166241659469231,1,7,1.5590777364571373e-05,1,7,4,3,3,5,0.0935306798140989,1,7
covid_hosp/train/0/06ea9b14-2cac-42c6-b3d1-b955feafee23.png_001,0,1.9998688270489777,0,0,0.7212377757315311,0,0,1.994364608958715,0,0,1,0,0,0,0.1688426990723506,0,0
covid_hosp/train/0/06f4f57e-ab00-459a-aa03-2ffe1dc75bdb.png_000,1,0.0007811106027453274,1,7,0.20324427478314844,1,7,8.394856036586518e-05,1,7,5,3,3,5,0.08941333960249209,1,7
covid_hosp/train/0/06f4f57e-ab00-459a-aa03-2ffe1dc75bdb.png_001,0,1.999953626979142,0,0,1.033741516606211,0,0,1.9922281188090176,0,0,0,0,0,0,0.21873914525525162,0,0
covid_hosp/train/0/06f6f5e7-610c-4122-8731-aac15337b5e8.png_000,1,0.00033515800215833114,0,6,0.15431127078416818,1,7,2.12711247504771e-08,0,5,5,3,3,5,0.050026372574605404,1,7
covid_hosp/train/0/06f6f5e7-610c-4122-8731-aac15337b5e8.png_001,0,1.9984442424764661,1,1,0.9075034144716136,0,0,1.993734087641288,1,2,0,0,0,0,0.2475339915666871,0,0
covid_hosp/train/0/0700bc73-b6e3-412e-9e2f-aa0b83424804.png_000,1,2.6925714855408067e-05,1,7,0.4400002564093778,1,7,0.00022521315116696972,1,7,5,3,3,5,0.0757460195844939,1,7
covid_hosp/train/0/0700bc73-b6e3-412e-9e2f-aa0b83424804.png_001,0,1.999306843506524,0,0,0.805163405418525,0,0,1.9911656707673946,0,0,0,0,0,0,0.24584097675525707,0,0
covid_hosp/train/0/07015c3f-79d8-4340-9baf-255b2a5418bd.png_000,1,3.728549824422167e-05,1,7,0.1873544958149681,1,7,0.00020594104173021766,1,6,5,3,3,5,0.05108394923422499,1,7
covid_hosp/train/0/07015c3f-79d8-4340-9baf-255b2a5418bd.png_001,0,1.9992577157534328,0,0,0.7916712659040431,0,0,1.9912883796703578,0,1,0,0,0,0,0.17887880538359635,0,0
covid_hosp/train/0/07045469-bbc4-42ca-a8b9-9c83ef77f704.png_000,1,6.904081425329611e-05,1,6,0.12740788528465874,1,7,8.083103573142125e-07,1,7,5,3,3,5,0.04817730515052021,1,7
covid_hosp/train/0/07045469-bbc4-42ca-a8b9-9c83ef77f704.png_001,0,1.999132852106192,0,1,0.76094247954887,0,0,1.9936144656273243,0,0,0,0,0,0,0.2386372119650505,0,0
covid_hosp/train/0/070efe1f-2b7a-4585-9e9b-561a4432fa57.png_000,1,0.0018657775897830131,1,5,0.19051858186677761,1,7,0.0001115009904449904,1,7,5,3,3,5,0.05077879811937247,1,7
covid_hosp/train/0/070efe1f-2b7a-4585-9e9b-561a4432fa57.png_001,0,1.9995133521442785,0,2,0.89185323079669,0,0,1.995312299240141,0,0,0,0,0,0,0.2365703851004528,0,0
covid_hosp/train/0/07120dca-52d2-4c79-84fd-a11f995df2fd.png_000,1,0.0016623811639849828,1,7,0.20042114062213034,1,7,3.30746039558516e-05,1,6,5,3,3,5,0.04523477036301238,1,7
covid_hosp/train/0/07120dca-52d2-4c79-84fd-a11f995df2fd.png_001,0,1.9961685690034272,0,0,0.7245059474913605,0,0,1.9946316279711471,0,1,0,0,0,0,0.2313917643247163,0,0
